,d,m,0.001,0.005,0.01,0.05,0.1
r_row,2,2,1.02741987945059,1.02241430449602,1.02055010606472,1.01583211881542,1.01401673900211
r_row,2,3,1.03046085288023,1.02619854755054,1.02470994076282,1.02034171121693,1.01835015443463
r_row,2,4,1.03473281175343,1.03101572943291,1.03008985173686,1.024996029193,1.0227919197648
r_row,2,8,1.05830100438758,1.05184217845725,1.04748375749804,1.03849273145491,1.03531605005372
r_row,3,2,1.02728867195895,1.02442772686929,1.02301278683745,1.01871939369231,1.0165375008389
r_row,3,3,1.03266595354507,1.02947645363881,1.02816669203259,1.02336259432611,1.02157042829566
r_row,3,4,1.04210145613384,1.03543446987845,1.03350963223142,1.02763385498307,1.02544449859831
r_row,3,8,1.05995914024541,1.05394290452348,1.05188732650714,1.04349862975076,1.04044863071717
r_row,4,2,1.02960120170992,1.0250665090297,1.02318188633757,1.01915526708108,1.01753895343694
r_row,4,3,1.03548254950838,1.03261093744055,1.03057166196581,1.02578341561669,1.02324883353414
r_row,4,4,1.04655841465631,1.03785354222356,1.03540931695677,1.03026100010381,1.02783832040999
r_row,4,8,1.06789681235851,1.05808120819825,1.05451810107737,1.04748375749804,1.04398499959342
r_row,5,2,1.0298160143278,1.0270035205449,1.02539764443756,1.02100046005223,1.01866543569646
r_row,5,3,1.03847128625591,1.03256175427374,1.03092601447475,1.02648541946984,1.02412934299799
r_row,5,4,1.04102452595924,1.03662410943346,1.03521873944209,1.03121479431256,1.02905107450524
r_row,5,8,1.06640077722703,1.05830824790145,1.0579783465734,1.04816132943548,1.04748375749804
r_row,6,2,1.025,1.024,1.023,1.020,1.019
r_row,6,3,1.034,1.032,1.032,1.026,1.024
r_row,6,4,1.043,1.038,1.036,1.032,1.030
r_row,6,8,1.069,1.061,1.058,1.050,1.048
