"","m","0.005","0.01","0.05","0.1"
"r_row",2,1.01843978440203,1.01664767128379,1.01252004937863,1.01064374445703
"r_row",3,1.02269192988374,1.02118167226012,1.01607781530439,1.01407833666059
"r_row",4,1.02827182684434,1.02644669339,1.01954582251634,1.01747505053742
"r_row",5,1.0304336628388,1.02890683464855,1.02336556498304,1.02083557106808
"r_row",6,1.03475032214543,1.03359254601189,1.02691235649929,1.02354461469777
"r_row",7,1.03755493812447,1.03491237146083,1.02966596828373,1.02595202937431
"r_row",8,1.04061381145397,1.03865879587704,1.03082624252969,1.02855025431339
"r_row",9,1.04519709853688,1.04324737178131,1.03488469188139,1.03195300463339
"r_row",10,1.04809762091942,1.04380299811939,1.03673420850949,1.03435080147958
